converterSerial,bgswid,objectName,gateway,GW_online,GW_health,GW_last_seen,FWversion,connection,mobile_rssi,disconnects_last_24h,gotVislist,vislistCount,isBinded,inVislist,seenCountToday,see_MBP_reqs,see_MDP_resps,resp_status_ok,conv_error_and_MB_exception
00176103,3056951,Wielandstraße 39,0200000140006360,YES,ok,2025-10-14 06:49,3.1.21-vfde-59,mobile,-77,0,YES,275,YES,YES,84,NO,NO,NO,
00176334,2972084,Platz der Vereinten Nationen 1,0200000140007521,YES,ok,2025-10-14 06:50,3.1.21-vfde-59,mobile,-69,0,YES,48,YES,YES,90,NO,NO,NO,
00176265,2843061,Friedrichstraße 172,02000001400070D0,YES,ok,2025-10-14 06:51,3.1.21-tarent-55,mobile,-85,0,YES,20,YES,YES,88,NO,NO,NO,
00176261,3253633,Alt-Stralau 32b,0200000140006884,YES,ok,2025-10-14 06:50,3.1.21-vfde-59,mobile,-59,0,YES,10,YES,YES,96,NO,NO,NO,
00175994,2828555,Engeldamm 42,0200000140007486,YES,ok,2025-10-14 06:52,3.1.21-vfde-57,mobile,-73,0,YES,9,YES,YES,89,NO,NO,NO,
00187611,2842670,Friedrichsberger Straße 15,0200000140006991,YES,ok,2025-10-14 06:49,3.1.21-vfde-59,mobile,-79,0,YES,20,YES,YES,95,NO,NO,NO,
00175988,2918921,Löwestraße 9,0200000140006A50,YES,ok,2025-10-14 06:49,3.1.21-vfde-59,mobile,-85,1,YES,218,YES,YES,27,NO,NO,NO,
00176243,3044472,Voigtstraße 26,0200000140006A67,NO,ok,2025-10-14 04:49,3.1.21-vfde-59,mobile,-71,2,NO
00176393,2891314,Jacobystraße 2,020000014000690D,YES,ok,2025-10-14 06:50,3.1.21-vfde-57,mobile,-79,0,YES,1,YES,YES,95,NO,NO,NO,
00176078,2932117,Lübbener Straße 29,0200000140006891,YES,ok,2025-10-14 06:49,3.1.21-vfde-59,mobile,-85,42,YES,45,YES,YES,87,NO,NO,NO,
00175880,2918938,Löwestraße 25a,02000001400068FC,YES,ok,2025-10-14 06:49,3.1.21-vfde-59,mobile,-77,0,YES,167,YES,YES,90,NO,NO,NO,
00176102,2911879,Koppenstraße 66,020000014000697E,YES,ok,2025-10-14 06:49,3.1.21-vfde-59,mobile,-75,0,YES,213,YES,YES,86,NO,NO,NO,
00176259,2922641,Lehmbruckstraße 9,0200000140006EA8,YES,ok,2025-10-14 06:50,3.1.21-vfde-59,mobile,-67,0,YES,80,YES,YES,92,NO,NO,NO,
00176095,2863362,Guerickestraße 1,0200000140006344,YES,ok,2025-10-14 06:53,3.1.21-vfde-59,mobile,-71,0,YES,451,YES,YES,86,NO,NO,NO,
00176202,2950626,Münzstraße 7,020000014000748C,YES,ok,2025-10-14 06:51,3.1.21-vfde-59,mobile,-75,0,YES,125,YES,YES,86,NO,NO,NO,
00176279,3044456,Voigtstraße 9,0200000140006944,YES,ok,2025-10-14 06:52,3.1.21-vfde-59,mobile,-81,0,YES,157,YES,YES,83,NO,NO,NO,
00176248,2873305,Heidenfeldstraße 5,020000014000766A,YES,ok,2025-10-14 06:51,3.1.21-vfde-59,mobile,-75,3,YES,588,YES,YES,92,NO,NO,NO,
00176282,2972092,Platz der Vereinten Nationen 9,0200000140006FCE,YES,ok,2025-10-14 06:50,3.1.21-vfde-59,mobile,-67,0,YES,1,YES,YES,94,NO,NO,NO,
00175950,2936553,Marchlewskistraße 20,02000001400068D3,YES,ok,2025-10-14 06:51,3.1.21-tarent-52,mobile,-81,504,YES,165,YES,YES,89,NO,NO,NO,
00176185,2919793,Landsberger Allee 68c,02000001400070E4,YES,ok,2025-10-14 06:53,3.1.21-vfde-57,mobile,-83,0,YES,10,YES,YES,79,NO,NO,NO,
00176344,2778855,Bauhofstraße 2,02000001400072D0,YES,ok,2025-10-14 06:49,3.1.21-vfde-59,mobile,-81,0,YES,3,YES,YES,94,NO,NO,NO,
00176114,2858106,Graudenzer Straße 8,020000014000640C,YES,ok,2025-10-14 06:50,3.1.21-vfde-59,mobile,-81,0,YES,288,YES,YES,64,NO,NO,NO,
00176190,2972090,Platz der Vereinten Nationen 7,020000014000723D,YES,ok,2025-10-14 06:51,3.1.21-vfde-57,mobile,-69,0,YES,1,YES,YES,82,NO,NO,NO,
00176385,2900012,Karl-Marx-Allee 41,020000014000688D,YES,ok,2025-10-14 06:50,3.1.21-vfde-59,mobile,-83,0,YES,41,YES,YES,88,NO,NO,NO,
00176247,2806990,Büschingstraße 11,0200000140006886,YES,ok,2025-10-14 06:49,3.1.21-vfde-59,mobile,-81,0,YES,61,YES,YES,98,NO,NO,NO,
00176079,2942644,Melchiorstraße 2,0200000140007858,YES,ok,2025-10-14 06:50,3.1.21-vfde-59,mobile,-83,0,YES,123,YES,YES,91,NO,NO,NO,
00176056,3253632,Alt-Stralau 32,0200000140006A43,YES,ok,2025-10-14 06:50,3.1.21-vfde-59,mobile,-81,0,YES,2,YES,YES,97,NO,NO,NO,
00176343,11498703,Bauhofstraße 3,0200000140007270,YES,ok,2025-10-14 06:51,3.1.21-vfde-57,mobile,-73,0,YES,4,YES,YES,95,NO,NO,NO,
00176359,2930470,Luckauer Straße 16,020000014000778D,YES,ok,2025-10-14 06:53,3.1.21-vfde-59,mobile,-77,0,YES,58,YES,YES,90,NO,NO,NO,
00176391,2785821,Berolinastraße 20,02000001400073FA,YES,ok,2025-10-14 06:53,3.1.21-vfde-59,mobile,-67,0,YES,29,YES,YES,86,NO,NO,NO,
00176182,2925702,Lichtenberger Straße 16,0200000140006FCD,YES,ok,2025-10-14 06:53,3.1.21-vfde-59,mobile,-69,0,YES,5,YES,YES,89,NO,NO,NO,
00175837,2891317,Jacobystraße 6,0200000140007215,YES,ok,2025-10-14 06:52,3.1.21-vfde-59,mobile,-75,0,YES,3,YES,YES,82,NO,NO,NO,
00175894,2900019,Karl-Marx-Allee 8,0200000140007693,YES,ok,2025-10-14 06:49,3.1.21-vfde-59,mobile,-63,0,YES,4,YES,YES,89,NO,NO,NO,
00176029,3004882,Schreinerstraße 34,0200000140006F60,YES,ok,2025-10-14 06:53,3.1.21-vfde-57,mobile,-91,178,YES,11,YES,YES,53,NO,NO,NO,
00176085,2852008,Ghanastraße 35,0200000140006922,YES,ok,2025-10-14 06:49,3.1.21-vfde-59,mobile,-85,0,YES,168,YES,YES,91,NO,NO,NO,
00187606,2773162,Auerstraße 14,0200000140006A45,YES,ok,2025-10-14 06:53,3.1.21-vfde-59,mobile,-91,11,YES,199,YES,YES,59,NO,NO,NO,
00187654,3066825,Zellestraße 10,02000001400062AD,YES,ok,2025-10-14 06:50,3.1.21-vfde-59,mobile,-81,2,YES,8,YES,YES,80,NO,NO,NO,
00176070,2852011,Ghanastraße 40,02000001400071DF,YES,ok,2025-10-14 06:52,3.1.21-vfde-59,mobile,-77,0,YES,113,YES,YES,84,NO,NO,NO,
00176384,2756552,Alte Schönhauser Straße 30,020000014000779A,YES,ok,2025-10-14 06:53,3.1.21-vfde-59,mobile,-85,0,YES,5,YES,YES,97,NO,NO,NO,
